"Date","Consignatario","Expedidor","Origen del envío","Destino del envío","Código HS","Mercancías enviadas","Goods Shipped","Gross Weight (kg)","Gross Weight (t)","Valor de las mercancías (USD)"
"2021-01-30","Dow Brasil Sudeste Industrial Ltda","H. Essers Transport Co. Nv","ANTWERPEN","SANTOS","29319000","13 DRUMS OF XIAMETER(TM) PMX-200 SILICONE FLUID 2 CST180","","2574","2.57","8900"
"2021-01-30","Adama Brasil S/A","Den Hartogh Logistics","NEW ORLEANS (LA)","PARANAGUA","29211121","2 X 20 CONTAINERS CONTAINING 2 TANK OF CHEMICALS NOS, HAZARDOUS DMA 60% DIMETHYLAMINE MINIMUM 60% SOLUTION DIEMETHYLAMINE AQUEOUS SOLUTION DIMETHYLAMINE","","36532","36.53","55500"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","LONDON","SANTOS","29339999","4 X 20 CONTAINERS CONTAINING 4 BULK CONT OF DIQUAT TECNICO,UN 1760 CORROSIVE LIQUID N.O.S.(DIQUAT DIBROMIDE","","100070","100.07","29892000"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","LONDON","SANTOS","29339999","1 X 20 CONTAINERS CONTAINING 1 BULK CONT OF DIQUAT TECNICO,UN 1760 CORROSIVE LIQUID N.O.S.(DIQUAT DIBROMIDE)","","25100","25.1","7498000"
"2021-01-30","Upl Do Brasil Ind E Com De Insumos Agropecuarios Sa","Upl Ltd.","NHAVA SHEVA (JAWAHARLAL N","SANTOS","38086990","4 X 40 CONTAINERS CONTAINING 80 IBCS OF TRINCA CAPS LAMBDA CYHALOTHRIN (LAMBDA CIALOTRINA)","","91040","91.04","1311000"
"2021-01-30","Bridge Industria De Produtos Plasticos Da Amazonia Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","2 X 40 & 1 X 40 CONTAINERS CONTAINING 2970 BAGS OF UNIVAL TM DMDA-6200 NT 7 HIGH DENSITY POLYETHYLENE RESIN","","75363","75.36","81300"
"2021-01-30","Dow Brasil Sudeste Industrial Ltda","Ssc Consolidation","ANTWERPEN","SANTOS","39100000","1 PALLET OF DOWSIL(TM) ACP-3258 ANTIFOAM COMPOUND","","876","0.88","5900"
"2021-01-30","Bayer Sa","Bayer Sas","LE HAVRE","SANTOS","32090000","1 X 40 CONTAINERS CONTAINING 19 PALLET OF PERIDIAM QUALITY PERIDIAM EXTRA","","22839","22.84","174000"
"2021-01-30","Bridge Industria De Produtos Plasticos Da Amazonia Ltda","Dow Group","NEW ORLEANS (LA)","MANAUS","39010000","3 X 40 CONTAINERS CONTAINING 2970 BAGS OF POLYETHYLENE LOW DENSITY","","75363","75.36","81300"
"2021-01-30","Univar Brasil Ltda","Dow","JEBEL ALI","NAVEGANTES","29221100","1 X 20 CONTAINERS CONTAINING 78 DRUMS OF MONOETHANOLAMINE ETHANOLAMINE","","17608","17.61","17400"
"2021-01-30","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","United Phosphorus Ltd.","NHAVA SHEVA (JAWAHARLAL N","SANTOS","38089191","2 X 40 CONTAINERS CONTAINING 1920 BOXES OF PERITO 970 SG INGREDIENTE:ATIVO: ACEFATO REGISTRO NO MAPA CFB","","45000","45","612000"
"2021-01-30","Valfilm Industria E Comercio De Plasticos Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","3 X 40 CONTAINERS CONTAINING 2970 BAGS OF DOWLEX TM POLYETHYLENE RESIN","","75363","75.36","81300"
"2021-01-30","Bayer S.A.","Bayer Group","ANTWERPEN","SANTOS","38080000","1 X 40 CONTAINERS CONTAINING 840 BAGS OF ANTRACOL 700 WP ENVIRONMENTALLY HAZARDOU:S SUBSTANCE, SOLID, N.O.S.PROPINEB MIXTURE","","22237","22.24","46400"
"2021-01-30","Upl Do Brasil Ind E Com De Insumos Agropecuarios Sa","Upl Ltd.","NHAVA SHEVA (JAWAHARLAL N","SANTOS","29309061","3 X 40 CONTAINERS CONTAINING 1440 BAGS OF ACEFATO INGREDIENTE ATIVO:: ACEPHATE","","77160","77.16","1584000"
"2021-01-30","Dow Brasil Industria E Comercio De Produtos Quimicos Lt","Dow Group","AVONDALE (LA)","NAVEGANTES","39010000","4 X 40 CONTAINERS CONTAINING 3960 BAGS OF  ENGAGE(TM) 8100 POLYOLEFIN ELASTOMER","","81180","81.18","87600"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","LONDON","SANTOS","29339999","3 X 20 CONTAINERS CONTAINING 3 BULK CONT OF DIQUAT TECNICO,UN 1760 CORROSIVE LIQUID N.O.S.(DIQUAT DIBROMIDE","","74960","74.96","22391000"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","LONDON","SANTOS","29339999","4 X 20 CONTAINERS CONTAINING 4 BULK CONT OF DIQUAT TECNICO,UN 1760 CORROSIVE LIQUID N.O.S.(DIQUAT DIBROMIDE","","100040","100.04","29883000"
"2021-01-30","Upl Do Brasil Industria & Comercio De Insumos Agropecuarios Sa","United Phosphorus Ltd.","HAZIRA","SANTOS","38089199","2 X 40 CONTAINERS CONTAINING 3200 BOXES OF SPERTO INGREDIENTE ATIVO BIFENTR:INA","","38720","38.72","526000"
"2021-01-30","Copobras Sa Industria E Comercio De Embalagens","Dow Group","HOUSTON (TX)","NAVEGANTES","39010000","1 X 40 CONTAINERS CONTAINING 990 BAGS OF ELITE TM ENHANCED POLYETHYLENE RESIN","","25121","25.12","27100"
"2021-01-30","Dow Brasil Sudeste Industrial Ltda","Dsv Transport & Logistics Co.","ANTWERPEN","SANTOS","00330000","1 X 20 CONTAINERS CONTAINING 354 PAIL/PILES OF SILASTIC(TM) LCF 9600 SERIES TEXTILE PRINTINGINK BASE20 DOWSIL(TM) 7091 ADHESIVE SEALANT BLACK310 20X15X25 CARTRIDGE DOWSIL(TM) 8500 CONDITIONING AGENT190 DOWSIL(TM) 7093 ADHESIVE SEALANT WHITE310 ML CARTRIDGE XIAMETER(TM) PMX-200 SILICONE FLUID FLAMMABLE LIQUID XIAMETER(TM) AFE-0400 ANTIFOAM EMULSION500 BOTTLE ACULYN(TM) 2051 RHEOLOGY MODIFIER500 ML BOTTLE XIAMETER(TM) AFE-0700 ANTIFOAM EMULSION500 ML BOTTLE XIAMETER(TM) ADH-6045 ADHESIVE25 DOWSIL(TM) IE 6683 EMULSION500 ML BOTTLE,","","4552","4.55",""
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","LONDON","SANTOS","29339999","4 X 20 CONTAINERS CONTAINING 4 BULK CONT OF DIQUAT TECNICO,UN 1760 CORROSIVE   LIQUID N.O.S.(DIQUAT DIBROMIDE)","","99820","99.82","29817000"
"2021-01-30","Bridge Industria De Produtos Plasticos Da Amazonia Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","5 X 40 CONTAINERS CONTAINING 4950 BAGS OF DOWLEX TM POLYETHYLENE RESIN","","125605","125.61","136000"
"2021-01-30","Valfilm Amazonia Industria E Comercio Ltda","Dow Group","HOUSTON (TX)","MANAUS","39010000","5 X 40 CONTAINERS CONTAINING 4950 BAGS OF DOWLEX TM POLYETHYLENE RESIN","","125605","125.61","136000"
"2021-01-30","Syngenta Protecao De Cultivos Ltda","Syngenta","LONDON","SANTOS","29339999","4 X 20 CONTAINERS CONTAINING 4 BULK CONT OF DIQUAT TECNICO,UN 1760 CORROSIVE LIQUID N.O.S.(DIQUAT DIBROMIDE","","99770","99.77","29802000"
"2021-01-30","Bayer Sa","Bayer Group","HAMBURG","ITAGUAI","29280000","5 X 40 CONTAINERS CONTAINING 200 PALLET OF 40 IBC PLASTICA FLEXIVEL TRIFLOXYSTROBIN TC ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S. TRIFLOXYSTROBIN ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S.","","108140","108.14","26138000"
"2021-01-30","Bayer S.A.","Bayer Group","ANTWERPEN","ITAGUAI","29340000","1 X 40 CONTAINERS CONTAINING 26 BAGS OF PONCHO TECNICO ENVIRONMENTALLY HAZARDOUS SUBSTANCE SOLID, N.O.S.CLOTHIANIDIN","","14047","14.05","1239000"
"2021-01-30","Bayer S.A.","Bayer Group","ANTWERPEN","ITAGUAI","38080000","1 X 40 CONTAINERS CONTAINING 24 BAGS OF CONFIDOR SUPRA WG51 FBC BR ENVIRONMENTALLY HAZARDOUS SUBSTANCE SOLID, N.O.S.IMIDACLOPRID MIXTURE","","13024","13.02","27200"
